beta min,beta max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44

,,0.0 keV < E_tot < 100.0 keV:
-23.58deg,-11.537deg,0,31,51,8,47,825,171,2570,21,7,20,0,0,18,35,0,0,0,0,4,73,60,629,2,200,55,310,8,21,353,3,1,12,1,0,40,29,1,3,0,8,38,541,318,5068
-11.537deg,0.0deg,0,30,31,4,31,727,112,2620,23,2,15,0,0,14,37,0,0,0,0,4,51,27,632,0,177,38,327,3,20,376,8,2,14,1,0,40,21,0,2,1,4,31,450,229,5420
0.0deg,11.537deg,0,59,34,5,47,664,125,2529,24,3,22,0,0,27,30,0,0,0,0,6,51,36,668,1,182,52,315,9,21,378,7,1,11,0,0,24,25,0,1,1,4,31,406,270,5583
11.537deg,23.58deg,0,164,45,11,43,748,161,2492,23,4,22,0,0,13,48,0,0,0,0,11,81,46,645,0,213,41,335,5,27,361,7,1,15,2,0,16,24,0,1,0,5,50,463,308,5324
23.58deg,36.87deg,0,291,75,23,71,971,283,2535,48,13,45,0,0,37,71,0,0,0,2,18,139,57,590,1,266,121,388,5,38,359,12,6,16,2,0,32,26,0,4,0,6,85,542,498,4779
36.87deg,53.13deg,0,434,153,82,89,1247,571,2008,91,71,91,0,0,58,87,1,0,0,0,41,147,111,423,1,392,364,441,10,65,213,9,19,18,2,0,50,34,2,3,0,4,204,584,895,3400
53.13deg,90.0deg,0,739,370,463,78,1567,968,763,201,346,72,1,0,182,232,0,0,0,0,86,67,198,167,0,718,1880,356,14,100,66,19,60,8,0,0,52,39,1,1,2,2,345,254,1328,1100

,,446.833 keV < E_tot < 525.0 keV:
-90.0deg,-53.13deg,0,347,344,421,76,2280,959,851,182,335,48,1,0,163,392,0,0,0,0,72,47,199,222,2,629,1516,364,7,81,96,21,50,14,1,0,78,33,1,0,2,0,270,232,1087,1078
-53.13deg,-36.87deg,0,163,111,73,94,1747,518,2403,80,61,36,0,0,67,140,0,0,0,0,25,121,130,590,1,366,318,461,8,43,255,13,13,24,1,0,32,31,1,1,0,2,140,570,726,3387
-36.87deg,-23.58deg,0,85,46,14,41,1260,244,2876,38,7,34,0,0,19,87,0,0,0,0,16,103,52,709,2,217,80,376,11,26,349,9,5,12,3,0,33,36,0,2,0,2,64,497,365,4495
-23.58deg,-11.537deg,0,33,26,12,46,992,137,2951,28,4,20,0,0,17,71,0,0,0,0,6,73,32,774,2,183,32,295,9,15,367,11,3,10,3,0,18,27,0,1,1,2,33,425,240,5169
-11.537deg,0.0deg,0,22,16,2,29,806,96,2710,13,3,19,0,0,18,34,0,0,0,0,7,48,21,658,3,135,28,265,3,19,367,5,1,11,1,0,20,19,0,3,1,3,17,326,163,4710
0.0deg,11.537deg,0,66,39,9,43,682,90,2704,20,1,24,0,0,28,32,0,0,0,0,1,57,29,649,1,124,23,281,3,13,303,4,0,12,0,0,20,7,0,4,0,7,16,283,155,4873
11.537deg,23.58deg,0,138,46,14,44,919,137,2938,22,5,18,0,0,22,43,0,0,0,0,6,88,40,748,2,177,43,289,12,19,390,3,0,15,1,0,26,14,1,5,0,4,29,391,229,5177
23.58deg,36.87deg,0,274,73,17,75,1078,243,3031,39,15,40,0,0,34,55,0,0,0,0,13,131,65,666,1,216,76,362,11,28,337,8,6,19,1,0,40,25,1,3,0,3,62,484,376,4609
36.87deg,53.13deg,0,414,161,98,97,1503,536,2422,85,67,79,0,0,84,133,0,0,0,1,46,164,107,596,0,325,260,430,13,56,261,10,10,18,0,0,45,26,1,1,1,5,165,538,707,3385
53.13deg,90.0deg,0,764,449,548,102,1906,1077,924,237,366,79,1,0,183,302,0,0,0,0,99,72,186,195,1,600,1542,304,12,90,89,15,56,17,0,0,58,31,0,0,2,0,312,198,1151,1173
